"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Environmental adaptation","sly04712","Circadian rhythm - plant","6/100","47/11892",0.127659574468085,15.1812765957447,8.97040762800704,2.46952719980955e-06,0.000146865670897362,0.000109009607278744,"100736520/100736457/544219/778295/778294/101249991",6
"Metabolism","Energy metabolism","sly00710","Carbon fixation by Calvin cycle","7/100","82/11892",0.0853658536585366,10.1517073170732,7.65772126069435,5.46086271865846e-06,0.000146865670897362,0.000109009607278744,"101267346/101253541/101266787/778287/101245149/101267723/101245299",7
"Metabolism","Carbohydrate metabolism","sly00500","Starch and sucrose metabolism","9/100","154/11892",0.0584415584415584,6.94987012987013,6.84362569834343,5.64867964989853e-06,0.000146865670897362,0.000109009607278744,"101259279/544039/101248715/544283/101257723/101259777/101268420/101253025/101247563",9
"Metabolism","Biosynthesis of other secondary metabolites","sly00941","Flavonoid biosynthesis","4/100","37/11892",0.108108108108108,12.8562162162162,6.65137827983836,0.000251241747939782,0.00477676257865187,0.00354550528779829,"100736482/101266223/778295/778294",4
"Metabolism","Carbohydrate metabolism","sly00620","Pyruvate metabolism","6/100","109/11892",0.055045871559633,6.54605504587156,5.35654724994031,0.000306202729400761,0.00477676257865187,0.00354550528779829,"101267346/778287/101245149/101261114/101267723/101267438",6
"Metabolism","Global and overview maps","sly01200","Carbon metabolism","9/100","290/11892",0.0310344827586207,3.69062068965517,4.27169759353345,0.00073581829955584,0.00956563789422592,0.00710000113606513,"101267346/101255335/101253541/101266787/778287/101255867/101245149/101267723/101245299",9
"Metabolism","Lipid metabolism","sly00592","alpha-Linolenic acid metabolism","4/100","52/11892",0.0769230769230769,9.14769230769231,5.42220452018272,0.000935222317214597,0.0104210486775341,0.00773492142057186,"544008/543806/101261114/101255254",4
"Metabolism","Metabolism of terpenoids and polyketides","sly00906","Carotenoid biosynthesis","3/100","39/11892",0.0769230769230769,9.14769230769231,4.69319106736199,0.00423382278302767,0.0412797721345198,0.0306395069824371,"543964/543696/544129",3
"Metabolism","Lipid metabolism","sly00591","Linoleic acid metabolism","2/100","18/11892",0.111111111111111,13.2133333333333,4.77515413822799,0.00981178939562848,0.0777815879130497,0.0577326226075268,"544008/101255254",2
"Metabolism","Amino acid metabolism","sly00350","Tyrosine metabolism","3/100","53/11892",0.0566037735849057,6.73132075471698,3.85079672111555,0.00997199845039099,0.0777815879130497,0.0577326226075268,"101261114/101263431/101259357",3
"Cellular Processes","Transport and catabolism","sly04144","Endocytosis","5/100","167/11892",0.029940119760479,3.56047904191617,3.0685873443666,0.0132814446725993,0.0941775167693403,0.0699023403821014,"101055596/100736433/101257989/101267950/101255164",5
