cell_type,deg_set,overlap,markers_total,deg_total,pct_markers_in_deg,pct_deg_in_markers,odds_ratio,p_value,p_adjust,significant
Cortex,leaf_up,83,1748,1031,4.7,8.1,1.74,6.533654488232954e-06,0.0002874807974822,True
Cortex,leaf_down,102,1748,1048,5.8,9.7,2.17,3.211157688805897e-11,1.4129093830745947e-09,True
Cortex,root_up,108,1748,1653,6.2,6.5,1.38,0.001351857241488,0.0594817186254729,False
Cortex,root_down,131,1748,875,7.5,15.0,3.62,1.5180123474174052e-30,6.679254328636583e-29,True
Cortex_ACT2,leaf_up,19,465,1031,4.1,1.8,1.44,0.0826555646085586,1.0,False
Cortex_ACT2,leaf_down,34,465,1048,7.3,3.2,2.67,1.2641467382050491e-06,5.562245648102217e-05,True
Cortex_ACT2,root_up,79,465,1653,17.0,4.8,4.39,9.137963308501856e-24,4.0207038557408168e-22,True
Cortex_ACT2,root_down,20,465,875,4.3,2.3,1.81,0.0113572846440381,0.4997205243376794,False
Endodermis,leaf_up,36,1396,1031,2.6,3.5,0.89,0.7775555576926368,1.0,False
Endodermis,leaf_down,79,1396,1048,5.7,7.5,2.07,2.274165076993745e-08,1.000632633877248e-06,True
Endodermis,root_up,40,1396,1653,2.9,2.4,0.6,0.9997356205216812,1.0,False
Endodermis,root_down,104,1396,875,7.4,11.9,3.51,4.882665792374694e-24,2.148372948644865e-22,True
Epidermis,leaf_up,31,1057,1031,2.9,3.0,1.02,0.4865506847026773,1.0,False
Epidermis,leaf_down,56,1057,1048,5.3,5.3,1.9,1.769834801362983e-05,0.0007787273125997,True
Epidermis,root_up,72,1057,1653,6.8,4.4,1.53,0.0007209093734546,0.0317200124320063,True
Epidermis,root_down,65,1057,875,6.1,7.4,2.74,1.4262274726303656e-11,6.275400879573609e-10,True
Exodermis,leaf_up,94,1405,1031,6.7,9.1,2.56,3.991734202275856e-14,1.7563630490013765e-12,True
Exodermis,leaf_down,72,1405,1048,5.1,6.9,1.85,3.671534196758028e-06,0.0001615475046573,True
Exodermis,root_up,157,1405,1653,11.2,9.5,2.76,7.591952395452277e-25,3.340459053999002e-23,True
Exodermis,root_down,87,1405,875,6.2,9.9,2.81,2.6350203547683623e-15,1.1594089560980794e-13,True
Meristematic_Cortex,leaf_up,40,1723,1031,2.3,3.9,0.79,0.9369970271266872,1.0,False
Meristematic_Cortex,leaf_down,83,1723,1048,4.8,7.9,1.74,7.02817262897302e-06,0.0003092395956748,True
Meristematic_Cortex,root_up,60,1723,1653,3.5,3.6,0.74,0.9928865381184764,1.0,False
Meristematic_Cortex,root_down,112,1723,875,6.5,12.8,3.03,4.004120189701697e-21,1.761812883468747e-19,True
Meristematic_Zone,leaf_up,61,1112,1031,5.5,5.9,2.02,1.521960723030734e-06,6.69662718133523e-05,True
Meristematic_Zone,leaf_down,28,1112,1048,2.5,2.7,0.85,0.8196289728689358,1.0,False
Meristematic_Zone,root_up,58,1112,1653,5.2,3.5,1.14,0.1863277554859925,1.0,False
Meristematic_Zone,root_down,32,1112,875,2.9,3.7,1.19,0.1955473770796781,1.0,False
Phloem,leaf_up,45,1483,1031,3.0,4.4,1.06,0.3825136824259688,1.0,False
Phloem,leaf_down,99,1483,1048,6.7,9.4,2.51,2.5119417595049e-14,1.105254374182156e-12,True
Phloem,root_up,73,1483,1653,4.9,4.4,1.07,0.3035989349972264,1.0,False
Phloem,root_down,74,1483,875,5.0,8.5,2.2,6.6228200371738355e-09,2.914040816356488e-07,True
Vascular,leaf_up,39,1002,1031,3.9,3.8,1.38,0.0372105864889632,1.0,False
Vascular,leaf_down,64,1002,1048,6.4,6.1,2.34,6.356899901187482e-09,2.797035956522492e-07,True
Vascular,root_up,43,1002,1653,4.3,2.6,0.92,0.714384240325002,1.0,False
Vascular,root_down,66,1002,875,6.6,7.5,2.96,4.707560738985455e-13,2.0713267251536e-11,True
Vascular_WOX4,leaf_up,22,910,1031,2.4,2.1,0.83,0.8282962388343335,1.0,False
Vascular_WOX4,leaf_down,53,910,1048,5.8,5.1,2.1,2.1224272801354584e-06,9.338680032596016e-05,True
Vascular_WOX4,root_up,27,910,1653,3.0,1.6,0.62,0.9957703894810822,1.0,False
Vascular_WOX4,root_down,73,910,875,8.0,8.3,3.7,7.765557464225335e-19,3.4168452842591466e-17,True
Xylem,leaf_up,30,1167,1031,2.6,2.9,0.89,0.7655353914865993,1.0,False
Xylem,leaf_down,64,1167,1048,5.5,6.1,1.98,1.4625484753745503e-06,6.435213291648021e-05,True
Xylem,root_up,37,1167,1653,3.2,2.2,0.67,0.9952351999177034,1.0,False
Xylem,root_down,87,1167,875,7.5,9.9,3.46,3.2271421020684104e-20,1.4199425249101005e-18,True
