cell_type,gene_id
Epidermis,Solyc00g009760
Epidermis,Solyc00g010525
Epidermis,Solyc00g011160
Epidermis,Solyc00g012440
Epidermis,Solyc00g013150
Epidermis,Solyc00g019730
Epidermis,Solyc00g022100
Epidermis,Solyc00g022107
Epidermis,Solyc00g036750
Epidermis,Solyc00g068970
Epidermis,Solyc06g024210
Epidermis,Solyc00g095465
Epidermis,Solyc00g099160
Epidermis,Solyc00g118680
Epidermis,Solyc00g127670
Epidermis,Solyc00g171810
Epidermis,Solyc01g005100
Epidermis,Solyc01g005370
Epidermis,Solyc01g005800
Epidermis,Solyc01g005860
Epidermis,Solyc01g005890
Epidermis,Solyc01g006580
Epidermis,Solyc01g006610
Epidermis,Solyc01g006810
Epidermis,Solyc01g006910
Epidermis,Solyc01g007855
Epidermis,Solyc01g008760
Epidermis,Solyc01g008790
Epidermis,Solyc01g008800
Epidermis,Solyc01g008890
Epidermis,Solyc01g009070
Epidermis,Solyc01g009370
Epidermis,Solyc01g009400
Epidermis,Solyc01g009410
Epidermis,Solyc01g010140
Epidermis,Solyc01g011030
Epidermis,Solyc01g017050
Epidermis,Solyc01g034150
Epidermis,Solyc01g044480
Epidermis,Solyc01g056990
Epidermis,Solyc01g057210
Epidermis,Solyc01g057340
Epidermis,Solyc01g058010
Epidermis,Solyc01g058260
Epidermis,Solyc01g058410
Epidermis,Solyc01g058500
Epidermis,Solyc01g060245
Epidermis,Solyc01g065590
Epidermis,Solyc01g066560
Epidermis,Solyc01g067120
Epidermis,Solyc01g067250
Epidermis,Solyc01g067370
Epidermis,Solyc01g067570
Epidermis,Solyc01g067580
Epidermis,Solyc01g067600
Epidermis,Solyc01g067610
Epidermis,Solyc01g068420
Epidermis,Solyc01g068560
Epidermis,Solyc01g079370
Epidermis,Solyc01g079507
Epidermis,Solyc01g079630
Epidermis,Solyc01g080310
Epidermis,Solyc01g080450
Epidermis,Solyc01g080660
Epidermis,Solyc01g081050
Epidermis,Solyc01g081120
Epidermis,Solyc01g081177
Epidermis,Solyc01g081250
Epidermis,Solyc01g081310
Epidermis,Solyc01g081320
Epidermis,Solyc01g073755
Epidermis,Solyc01g073810
Epidermis,Solyc01g073820
Epidermis,Solyc01g073830
Epidermis,Solyc01g086895
Epidermis,Solyc01g086970
Epidermis,Solyc01g087290
Epidermis,Solyc01g087320
Epidermis,Solyc01g087360
Epidermis,Solyc01g087380
Epidermis,Solyc01g087385
Epidermis,Solyc01g087400
Epidermis,Solyc01g087410
Epidermis,Solyc01g087420
Epidermis,Solyc01g087880
Epidermis,Solyc01g088230
Epidermis,Solyc01g088670
Epidermis,Solyc01g090645
Epidermis,Solyc01g090880
Epidermis,Solyc01g091300
Epidermis,Solyc01g091720
Epidermis,Solyc01g091770
Epidermis,Solyc01g094330
Epidermis,Solyc01g094470
Epidermis,Solyc01g095070
Epidermis,Solyc01g095090
Epidermis,Solyc01g095130
Epidermis,Solyc01g095840
Epidermis,Solyc01g096410
Epidermis,Solyc01g096840
Epidermis,Solyc01g097150
Epidermis,Solyc01g097170
Epidermis,Solyc01g097710
Epidermis,Solyc01g097720
Epidermis,Solyc01g098450
Epidermis,Solyc01g098520
Epidermis,Solyc01g098960
Epidermis,Solyc01g099510
Epidermis,Solyc01g099530
